##	Base30	Cluster0	Cluster3	Cluster6
194	(6)(14)	11001001001100000	11101000001100100	10110110000011110
195	(6)(15)	11100100100111000	11101000001100010	11111100100110100
196	(6)(16)	11110010010011110	11010000011101000	10010011011111000
197	(6)(17)	11011011001100000	11101000001110110	11001001101111110
198	(6)(18)	11101101100111000	11010000011100100	11111101101110100
199	(6)(19)	11110110110011110	11010000011100010	11111100100110010
200	(6)(20)	10110110001000000	10100000111101000	10110111011111000
201	(6)(21)	10010010000100000	11010000011110110	10010011001111100
202	(6)(22)	11001001000011000	10100000111100100	11111101101110010
203	(6)(23)	11100100100001110	10100000111100010	10110111001111100
204	(6)(24)	10110110000100000	11110100000010100	10010011000111110
205	(6)(25)	11011011000011000	11110100000010010	10110111000111110
206	(6)(26)	10110110000010000	11101000000110100	11111001001110100
207	(6)(27)	10010011011000000	11101000000110010	10010011101111110
208	(6)(28)	11001001101110000	11010000001110100	11111011011110100
209	(6)(29)	11100100110111100	11010000001110010	11111001001110010
210	(7)(0)	10110111011000000	11110010101000000	10110111101111110
211	(7)(1)	10010011001100000	11111001010110000	11111011011110010
212	(7)(2)	11001001100111000	11111100101011100	11110010011110100
213	(7)(3)	11100100110011110	11110010100100000	11110110111110100
214	(7)(4)	10110111001100000	11111001010011000	11110010011110010
215	(7)(5)	11011011100111000	11111100101001110	11110110111110010
216	(7)(6)	11101101110011110	11110010100010000	11100100111110100
217	(7)(7)	10110111000110000	11111001010001100	11101101111110100
218	(7)(8)	10010011000011000	11110010100001000	11100100111110010
219	(7)(9)	10110111000011000	11111001010000110	11101101111110010
220	(7)(10)	10010011101110000	11110010100000100	11001001111110100
221	(7)(11)	11001001110111100	11110010100000010	11001001111110010
222	(7)(12)	10110111101110000	11100101101000000	10110010111000000
223	(7)(13)	10010011100111000	11110010110110000	11011001011110000
224	(7)(14)	11001001110011110	11111001011011100	11101100101111100
225	(7)(15)	10110111100111000	11100101100100000	10110010011100000
226	(7)(16)	11011011110011110	11110010110011000	11011001001111000
227	(7)(17)	10110111100011100	11111001011001110	11101100100111110
228	(7)(18)	10010011110111100	11100101100010000	10110010001110000
